AWA,AWS,HOG,COG,SOG,Current Speed,Current Angle,LAT,LNG,Rudder,Tail Angle,Steer Scheme,Steer Point,Bearing,Prop Scheme,Prop Point
-14.7374871604,11.7386761284,15.8665916226,19.3789166493,2.86271689525,0.0,180,0.000382823993185,0.000287099861297,-45,-6.0,0,-28.650710365,-29.1153847331,0,100.0
-12.0463709372,11.5319365792,12.4185970727,15.8665916226,2.81028440636,0.0,180,0.00038890164247,0.000288827294523,-45,-6.0,0,-29.1153847332,-29.552385467,0,100.0
-9.480335837,11.5741441576,9.03375474593,12.4185970727,2.758812252,0.0,180,0.000394959164834,0.000290161188535,-45,-5.0,1,-30.0,-29.9614522392,0,100.0
-6.9313298845,11.5914673471,5.71090796888,9.03375474593,2.70828284303,0.0,180,0.000400972679585,0.000291117267665,-45,-5.0,1,-30.0,-30.3424025736,0,100.0
-4.40461161362,11.6050658656,2.80776121658,5.71090796888,2.65867891247,0.0,180,0.000406920529502,0.000291712085666,-39,0.0,0,-30.3424025736,-30.6951275791,0,100.0
-2.17682354908,11.6103795787,-0.042212548165,2.80776121658,2.60998350959,0.0,180,0.000412781521392,0.000291999531819,-39,0.0,1,-30.0,-31.0226820734,0,100.0
0.0328204551698,11.5156586752,1.97609663213,-0.042212548165,2.56217999412,0.0,180,0.000418542079396,0.000291995287739,27,0.0,1,-30.0,-31.3251794556,0,100.0
-1.54256515217,11.4627042803,-0.271674758437,1.97609663213,2.51525203058,0.0,180,0.000424193767575,0.000292190288356,-31,0.0,0,-31.3251794556,-31.6446048706,0,100.0
0.211326497962,11.1156884796,-2.47827677991,-0.271674758437,2.46918358267,0.0,180,0.000429745180531,0.000292163965474,-31,0.0,0,-31.6446048705,-31.9444875643,0,100.0
1.94610664542,11.2848392569,-4.51732631911,-2.47827677991,2.42395890782,0.0,180,0.000435189879813,0.000291928312983,-29,0.0,1,30.0,-32.2250581379,0,100.0
3.55185492691,11.1226866741,-6.51902936326,-4.51732631911,2.37956255179,0.0,180,0.000440523240471,0.000291506945552,-29,0.0,1,30.0,-32.4876699203,0,100.0
5.14738838653,11.0793819131,-8.4840699373,-6.51902936326,2.33597934337,0.0,180,0.000445741273896,0.000290910670137,-29,0.0,1,30.0,-32.732584181,0,100.0
6.72282784953,11.0079442262,-10.1024684304,-8.4840699373,2.29319438927,0.0,180,0.000450840651741,0.000290150012409,-24,0.0,1,30.0,-32.9600724989,0,100.0
8.02379452236,10.8867062912,-11.691224921,-10.1024684304,2.25119306893,0.0,180,0.000455823544827,0.000289262202476,-24,0.0,1,30.0,-33.1731557495,0,100.0
9.27928740496,10.6411583625,-13.1895081629,-11.691224921,2.20996102961,0.0,180,0.000460689128462,0.000288255365662,-23,2.0,1,30.0,-33.372101461,0,100.0
10.4970095708,10.5377273873,-14.4769851275,-13.1895081629,2.16948418144,0.0,180,0.000465438119209,0.000287142417361,-20,2.0,1,30.0,-33.5577206592,0,100.0
11.592176575,10.578937247,-15.7408811289,-14.4769851275,2.1297486926,0.0,180,0.00047007440358,0.000285945379376,-20,3.0,1,30.0,-33.7318902011,0,100.0
12.7025910107,10.7010549147,-16.9816280676,-15.7408811289,2.09074098462,0.0,180,0.000474598744226,0.000284670160654,-20,3.0,1,30.0,-33.8948523728,0,100.0
13.7633604322,10.6777699598,-18.0821172153,-16.9816280676,2.05244772773,0.0,180,0.000479012070214,0.000283322418751,-18,5.0,1,30.0,-34.0468494025,0,100.0
14.7099152754,10.6315643733,-19.1624502013,-18.0821172153,2.01485583632,0.0,180,0.000483318353574,0.000281916395875,-18,5.0,1,30.0,-34.1891432432,0,100.0
15.7317527112,10.8496877599,-20.05179351,-19.1624502013,1.9779524644,0.0,180,0.000487518989181,0.000280456665894,-15,7.0,1,30.0,-34.3219550321,0,100.0
16.5296953082,10.8501892434,-20.9270012679,-20.05179351,1.9440784618,0.0,180,0.000491624919265,0.000278958024853,-15,7.0,1,30.0,-34.4471261708,0,100.0
17.298282572,10.7969270574,-21.6758790133,-20.9270012679,1.91317856123,0.0,180,0.000495642589383,0.000277421655969,-13,8.0,1,30.0,-34.5649564272,0,100.0
18.0170262396,10.9013687865,-22.4142640864,-21.6758790133,1.88349065274,0.0,180,0.000499577808362,0.000275857560867,-13,8.0,1,30.0,-34.6765799297,0,100.0
18.6333289396,10.7384479872,-23.0335980834,-22.4142640864,1.85710069717,0.0,180,0.000503437694105,0.000274265506465,-11,10.0,0,-34.6765799297,-34.7822607703,0,100.0
